# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=4.03423e-06 -----------------
#dely    BF
0.050 -0.001859 -0.000002
0.150 -0.001580 -0.000002
0.250 -0.000639 -0.000001
0.350 0.000191 0.000000
0.450 0.000627 0.000001
0.550 0.000771 0.000001
0.650 0.001119 0.000001
0.750 0.001146 0.000002
0.850 0.000753 0.000001
0.950 0.000273 0.000000
1.050 0.000018 0.000000
1.150 -0.000286 -0.000001
1.250 -0.000260 -0.000001
1.350 -0.000194 -0.000001
1.450 -0.000049 -0.000000
1.550 0.000011 0.000000
1.650 -0.000001 -0.000000
1.750 -0.000000 -0.000000
