# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.209959 -----------------
#dely    BF
0.050 -0.315255 -0.000716
0.150 -0.299470 -0.000698
0.250 -0.276642 -0.000672
0.350 -0.247668 -0.000634
0.450 -0.216920 -0.000591
0.550 -0.187117 -0.000549
0.650 -0.155560 -0.000496
0.750 -0.127519 -0.000449
0.850 -0.098574 -0.000388
0.950 -0.072486 -0.000325
1.050 -0.049338 -0.000258
1.150 -0.029767 -0.000187
1.250 -0.015404 -0.000122
1.350 -0.006229 -0.000065
1.450 -0.001525 -0.000023
1.550 -0.000117 -0.000003
1.650 -0.000002 -0.000000
1.750 0.000000 0.000000
