# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=4.99636e-05 -----------------
#dely    BF
0.050 0.004441 0.000009
0.150 0.003224 0.000007
0.250 0.001683 0.000004
0.350 -0.000225 -0.000001
0.450 -0.001513 -0.000004
0.550 -0.001865 -0.000005
0.650 -0.001619 -0.000005
0.750 -0.001071 -0.000004
0.850 -0.000766 -0.000003
0.950 -0.000572 -0.000002
1.050 -0.000430 -0.000002
1.150 -0.000229 -0.000001
1.250 -0.000321 -0.000002
1.350 -0.000151 -0.000001
1.450 -0.000065 -0.000001
1.550 -0.000016 -0.000000
1.650 -0.000004 -0.000000
1.750 0.000000 0.000000
