# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0617966 -----------------
#dely    BF
0.050 0.069905 0.000026
0.150 0.065817 0.000025
0.250 0.062835 0.000025
0.350 0.059471 0.000025
0.450 0.057889 0.000026
0.550 0.054377 0.000026
0.650 0.048331 0.000025
0.750 0.043232 0.000025
0.850 0.037756 0.000024
0.950 0.030374 0.000021
1.050 0.024960 0.000020
1.150 0.020090 0.000018
1.250 0.015728 0.000016
1.350 0.011878 0.000015
1.450 0.008335 0.000013
1.550 0.004953 0.000010
1.650 0.001874 0.000006
1.750 0.000162 0.000002
