# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=9.08115e-05 -----------------
#dely    BF
0.050 0.000784 0.000001
0.150 0.000995 0.000001
0.250 0.001212 0.000002
0.350 0.001214 0.000002
0.450 0.001060 0.000002
0.550 0.000822 0.000001
0.650 0.000498 0.000001
0.750 0.000165 0.000000
0.850 -0.000343 -0.000001
0.950 -0.000917 -0.000002
1.050 -0.001183 -0.000003
1.150 -0.001254 -0.000003
1.250 -0.000986 -0.000003
1.350 -0.000676 -0.000003
1.450 -0.000356 -0.000002
1.550 -0.000115 -0.000001
1.650 -0.000011 -0.000000
1.750 0.000000 0.000000
