# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.268251 -----------------
#dely    BF
0.050 -0.412529 -0.000159
0.150 -0.387508 -0.000154
0.250 -0.356676 -0.000148
0.350 -0.319345 -0.000139
0.450 -0.280257 -0.000128
0.550 -0.239849 -0.000116
0.650 -0.200809 -0.000104
0.750 -0.163469 -0.000092
0.850 -0.126782 -0.000077
0.950 -0.092340 -0.000062
1.050 -0.063882 -0.000048
1.150 -0.038188 -0.000032
1.250 -0.016486 -0.000016
1.350 -0.002502 -0.000003
1.450 0.005129 0.000007
1.550 0.007849 0.000014
1.650 0.004540 0.000014
1.750 0.000592 0.000005
