# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=9.06442e-05 -----------------
#dely    BF
0.050 0.005717 0.000011
0.150 0.004594 0.000009
0.250 0.002491 0.000005
0.350 0.000579 0.000001
0.450 -0.001372 -0.000003
0.550 -0.001770 -0.000005
0.650 -0.001554 -0.000004
0.750 -0.001463 -0.000004
0.850 -0.001232 -0.000004
0.950 -0.001274 -0.000005
1.050 -0.000971 -0.000004
1.150 -0.000927 -0.000005
1.250 -0.000885 -0.000005
1.350 -0.000572 -0.000004
1.450 -0.000321 -0.000004
1.550 -0.000126 -0.000002
1.650 -0.000007 -0.000000
1.750 0.000000 0.000000
