# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.00573351 -----------------
#dely    BF
0.050 -0.003105 -0.000005
0.150 -0.004454 -0.000007
0.250 -0.006201 -0.000011
0.350 -0.007550 -0.000014
0.450 -0.008171 -0.000016
0.550 -0.007730 -0.000016
0.650 -0.006192 -0.000014
0.750 -0.004993 -0.000013
0.850 -0.003709 -0.000010
0.950 -0.002543 -0.000008
1.050 -0.001468 -0.000005
1.150 -0.000819 -0.000004
1.250 -0.000291 -0.000002
1.350 -0.000082 -0.000001
1.450 -0.000051 -0.000001
1.550 0.000024 0.000000
1.650 -0.000000 -0.000000
1.750 0.000000 0.000000
