# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.154954 -----------------
#dely    BF
0.050 -0.294423 -0.000095
0.150 -0.271923 -0.000091
0.250 -0.250889 -0.000087
0.350 -0.219831 -0.000080
0.450 -0.189138 -0.000072
0.550 -0.155044 -0.000063
0.650 -0.122156 -0.000053
0.750 -0.088747 -0.000041
0.850 -0.058856 -0.000029
0.950 -0.031641 -0.000017
1.050 -0.007579 -0.000004
1.150 0.008821 0.000006
1.250 0.021916 0.000016
1.350 0.028758 0.000024
1.450 0.030536 0.000030
1.550 0.025769 0.000031
1.650 0.018404 0.000030
1.750 0.006480 0.000019
