# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-2.24506e-05 -----------------
#dely    BF
0.050 -0.000396 -0.000000
0.150 0.000048 0.000000
0.250 -0.000114 -0.000000
0.350 0.001075 0.000001
0.450 0.000914 0.000001
0.550 0.000630 0.000001
0.650 0.000588 0.000001
0.750 0.000620 0.000001
0.850 0.000169 0.000000
0.950 -0.000490 -0.000001
1.050 -0.000751 -0.000002
1.150 -0.000887 -0.000003
1.250 -0.000765 -0.000003
1.350 -0.000485 -0.000003
1.450 -0.000284 -0.000002
1.550 -0.000082 -0.000001
1.650 -0.000015 -0.000000
1.750 0.000000 0.000000
