# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.161782 -----------------
#dely    BF
0.050 0.350697 0.002076
0.150 0.314828 0.001930
0.250 0.249270 0.001623
0.350 0.204646 0.001438
0.450 0.154929 0.001196
0.550 0.111229 0.000968
0.650 0.087200 0.000855
0.750 0.061612 0.000707
0.850 0.041980 0.000573
0.950 0.022031 0.000371
1.050 0.011584 0.000249
1.150 0.005682 0.000160
1.250 0.001773 0.000072
1.350 0.000367 0.000023
1.450 0.000016 0.000002
1.550 -0.000021 -0.000012
1.650 0.000000 0.000000
1.750 0.000000 0.000000
