# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-9.01274e-05 -----------------
#dely    BF
0.050 0.002051 0.000003
0.150 0.001046 0.000001
0.250 -0.000641 -0.000001
0.350 -0.001305 -0.000002
0.450 -0.002188 -0.000004
0.550 -0.001832 -0.000004
0.650 -0.001001 -0.000002
0.750 -0.000427 -0.000001
0.850 0.000211 0.000001
0.950 0.000551 0.000002
1.050 0.000726 0.000003
1.150 0.000672 0.000004
1.250 0.000511 0.000003
1.350 0.000403 0.000003
1.450 0.000231 0.000003
1.550 0.000081 0.000002
1.650 0.000010 0.000001
1.750 0.000000 0.000000
