# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-6.09403e-05 -----------------
#dely    BF
0.050 0.000017 0.000000
0.150 0.000233 0.000000
0.250 0.000479 0.000001
0.350 0.001058 0.000001
0.450 0.000689 0.000001
0.550 0.000494 0.000001
0.650 0.000124 0.000000
0.750 0.000593 0.000001
0.850 -0.000143 -0.000000
0.950 -0.000614 -0.000001
1.050 -0.000972 -0.000002
1.150 -0.000766 -0.000002
1.250 -0.000806 -0.000002
1.350 -0.000623 -0.000002
1.450 -0.000320 -0.000001
1.550 -0.000047 -0.000000
1.650 -0.000004 -0.000000
1.750 -0.000002 -0.000000
