# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-8.88534e-05 -----------------
#dely    BF
0.050 0.001541 0.000002
0.150 0.001478 0.000002
0.250 0.001642 0.000002
0.350 0.001374 0.000002
0.450 0.001268 0.000002
0.550 0.000807 0.000001
0.650 -0.000036 -0.000000
0.750 -0.000108 -0.000000
0.850 -0.000848 -0.000002
0.950 -0.001396 -0.000003
1.050 -0.001650 -0.000004
1.150 -0.001578 -0.000004
1.250 -0.001444 -0.000004
1.350 -0.001075 -0.000004
1.450 -0.000580 -0.000003
1.550 -0.000242 -0.000002
1.650 -0.000041 -0.000001
1.750 -0.000000 -0.000000
