# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00352677 -----------------
#dely    BF
0.050 0.037546 0.000108
0.150 0.027649 0.000083
0.250 0.013100 0.000043
0.350 -0.001050 -0.000004
0.450 -0.009094 -0.000038
0.550 -0.009300 -0.000046
0.650 -0.008845 -0.000051
0.750 -0.006063 -0.000042
0.850 -0.003690 -0.000030
0.950 -0.002067 -0.000021
1.050 -0.001243 -0.000015
1.150 -0.000849 -0.000013
1.250 -0.000485 -0.000010
1.350 -0.000258 -0.000008
1.450 -0.000077 -0.000004
1.550 -0.000007 -0.000001
1.650 0.000000 0.000000
1.750 0.000000 0.000000
