# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.148799 -----------------
#dely    BF
0.050 0.502579 0.002427
0.150 0.370718 0.001925
0.250 0.248132 0.001451
0.350 0.158226 0.001072
0.450 0.092448 0.000740
0.550 0.053146 0.000506
0.650 0.029612 0.000333
0.750 0.017759 0.000240
0.850 0.009656 0.000160
0.950 0.004210 0.000086
1.050 0.001481 0.000038
1.150 0.000302 0.000010
1.250 -0.000095 -0.000004
1.350 -0.000152 -0.000011
1.450 -0.000024 -0.000004
1.550 -0.000002 -0.000001
1.650 0.000000 0.000000
1.750 0.000000 0.000000
