# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=7.92139e-05 -----------------
#dely    BF
0.050 0.004283 0.000006
0.150 0.003424 0.000005
0.250 0.001515 0.000002
0.350 -0.000226 -0.000000
0.450 -0.001968 -0.000004
0.550 -0.001940 -0.000004
0.650 -0.001242 -0.000003
0.750 -0.001133 -0.000003
0.850 -0.000686 -0.000002
0.950 -0.000396 -0.000001
1.050 -0.000302 -0.000001
1.150 -0.000213 -0.000001
1.250 -0.000160 -0.000001
1.350 -0.000086 -0.000001
1.450 -0.000061 -0.000001
1.550 -0.000016 -0.000000
1.650 -0.000001 -0.000000
1.750 0.000000 0.000000
