# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0982205 -----------------
#dely    BF
0.050 0.128052 0.000050
0.150 0.121252 0.000049
0.250 0.112356 0.000047
0.350 0.104088 0.000046
0.450 0.095092 0.000045
0.550 0.084282 0.000043
0.650 0.073347 0.000040
0.750 0.062179 0.000037
0.850 0.051541 0.000034
0.950 0.041527 0.000031
1.050 0.032335 0.000027
1.150 0.025106 0.000024
1.250 0.018827 0.000020
1.350 0.013948 0.000018
1.450 0.009927 0.000016
1.550 0.005896 0.000012
1.650 0.002238 0.000007
1.750 0.000212 0.000002
