# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00299971 -----------------
#dely    BF
0.050 0.011178 0.000018
0.150 0.009890 0.000016
0.250 0.007207 0.000012
0.350 0.004601 0.000008
0.450 0.001562 0.000003
0.550 0.000370 0.000001
0.650 -0.000360 -0.000001
0.750 -0.000468 -0.000001
0.850 -0.000799 -0.000002
0.950 -0.000627 -0.000002
1.050 -0.000902 -0.000003
1.150 -0.000711 -0.000003
1.250 -0.000479 -0.000003
1.350 -0.000279 -0.000002
1.450 -0.000165 -0.000002
1.550 -0.000021 -0.000000
1.650 0.000002 0.000000
1.750 0.000000 0.000000
