# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.178629 -----------------
#dely    BF
0.050 0.458781 0.003219
0.150 0.424665 0.003048
0.250 0.345622 0.002582
0.350 0.254251 0.002029
0.450 0.168712 0.001463
0.550 0.101516 0.000970
0.650 0.046400 0.000490
0.750 0.016750 0.000202
0.850 -0.003199 -0.000045
0.950 -0.010822 -0.000180
1.050 -0.008522 -0.000174
1.150 -0.005360 -0.000140
1.250 -0.001868 -0.000071
1.350 -0.000620 -0.000035
1.450 0.000044 0.000005
1.550 -0.000067 -0.000021
1.650 0.000000 0.000000
1.750 0.000000 0.000000
