# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00627143 -----------------
#dely    BF
0.050 0.008184 0.000010
0.150 0.008300 0.000010
0.250 0.008389 0.000011
0.350 0.007519 0.000010
0.450 0.007182 0.000010
0.550 0.006248 0.000009
0.650 0.005281 0.000008
0.750 0.004327 0.000007
0.850 0.002926 0.000005
0.950 0.002008 0.000004
1.050 0.001139 0.000003
1.150 0.000629 0.000002
1.250 0.000277 0.000001
1.350 0.000138 0.000001
1.450 0.000095 0.000000
1.550 0.000073 0.000001
1.650 -0.000001 -0.000000
1.750 -0.000000 -0.000000
