# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-5.1499e-05 -----------------
#dely    BF
0.050 0.002804 0.000004
0.150 0.001784 0.000003
0.250 -0.000183 -0.000000
0.350 -0.000912 -0.000002
0.450 -0.002254 -0.000004
0.550 -0.001851 -0.000004
0.650 -0.001057 -0.000003
0.750 -0.000389 -0.000001
0.850 0.000000 0.000000
0.950 0.000188 0.000001
1.050 0.000398 0.000002
1.150 0.000367 0.000002
1.250 0.000294 0.000002
1.350 0.000172 0.000001
1.450 0.000092 0.000001
1.550 0.000029 0.000001
1.650 0.000002 0.000000
1.750 0.000000 0.000000
