# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=4.67912e-05 -----------------
#dely    BF
0.050 0.024004 0.000070
0.150 0.019850 0.000061
0.250 0.011662 0.000039
0.350 0.001399 0.000005
0.450 -0.003388 -0.000015
0.550 -0.008567 -0.000044
0.650 -0.009525 -0.000058
0.750 -0.009021 -0.000066
0.850 -0.007694 -0.000068
0.950 -0.006835 -0.000073
1.050 -0.005121 -0.000068
1.150 -0.003401 -0.000058
1.250 -0.001743 -0.000040
1.350 -0.000818 -0.000027
1.450 -0.000272 -0.000014
1.550 -0.000064 -0.000007
1.650 0.000000 0.000000
1.750 0.000000 0.000000
