# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.00130225 -----------------
#dely    BF
0.050 -0.030513 -0.000119
0.150 -0.025079 -0.000101
0.250 -0.018482 -0.000077
0.350 -0.009244 -0.000041
0.450 -0.000867 -0.000004
0.550 0.004839 0.000025
0.650 0.010279 0.000060
0.750 0.013045 0.000084
0.850 0.013263 0.000098
0.950 0.011128 0.000096
1.050 0.008524 0.000088
1.150 0.005504 0.000071
1.250 0.002853 0.000048
1.350 0.001300 0.000031
1.450 0.000365 0.000014
1.550 0.000062 0.000005
1.650 0.000000 0.000000
1.750 0.000000 0.000000
