# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0437736 -----------------
#dely    BF
0.050 0.006007 0.000014
0.150 -0.003078 -0.000007
0.250 -0.017523 -0.000043
0.350 -0.033630 -0.000086
0.450 -0.049233 -0.000134
0.550 -0.057368 -0.000168
0.650 -0.061153 -0.000195
0.750 -0.060898 -0.000215
0.850 -0.052696 -0.000207
0.950 -0.042634 -0.000191
1.050 -0.030658 -0.000160
1.150 -0.019569 -0.000123
1.250 -0.010057 -0.000080
1.350 -0.004186 -0.000044
1.450 -0.000989 -0.000015
1.550 -0.000070 -0.000002
1.650 -0.000001 -0.000000
1.750 0.000000 0.000000
