# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=3.65461e-05 -----------------
#dely    BF
0.050 -0.018108 -0.000071
0.150 -0.014532 -0.000058
0.250 -0.011794 -0.000049
0.350 -0.005010 -0.000022
0.450 0.000329 0.000002
0.550 0.004903 0.000026
0.650 0.007570 0.000044
0.750 0.008107 0.000052
0.850 0.008236 0.000061
0.950 0.007410 0.000064
1.050 0.005912 0.000061
1.150 0.003822 0.000049
1.250 0.002650 0.000044
1.350 0.000875 0.000021
1.450 -0.000039 -0.000002
1.550 0.000035 0.000003
1.650 0.000000 0.000000
1.750 0.000000 0.000000
