# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-2.49364e-05 -----------------
#dely    BF
0.050 -0.010453 -0.000040
0.150 -0.007681 -0.000030
0.250 0.000110 0.000000
0.350 0.007610 0.000033
0.450 0.011720 0.000055
0.550 0.012551 0.000065
0.650 0.009375 0.000053
0.750 0.005125 0.000033
0.850 -0.001243 -0.000009
0.950 -0.005410 -0.000046
1.050 -0.006988 -0.000071
1.150 -0.006784 -0.000087
1.250 -0.005118 -0.000084
1.350 -0.002220 -0.000053
1.450 -0.000696 -0.000027
1.550 -0.000148 -0.000012
1.650 0.000000 0.000000
1.750 0.000000 0.000000
