# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.151037 -----------------
#dely    BF
0.050 0.549548 0.002533
0.150 0.406772 0.002023
0.250 0.246913 0.001382
0.350 0.135182 0.000894
0.450 0.076231 0.000602
0.550 0.038349 0.000369
0.650 0.022190 0.000266
0.750 0.013160 0.000191
0.850 0.008518 0.000154
0.950 0.005916 0.000134
1.050 0.003827 0.000109
1.150 0.002296 0.000087
1.250 0.000987 0.000056
1.350 0.000375 0.000031
1.450 0.000098 0.000015
1.550 0.000010 0.000010
1.650 0.000000 0.000000
1.750 0.000000 0.000000
