# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-2.71597e-05 -----------------
#dely    BF
0.050 0.002473 0.000004
0.150 0.001143 0.000002
0.250 0.000036 0.000000
0.350 -0.001607 -0.000003
0.450 -0.002212 -0.000004
0.550 -0.002028 -0.000004
0.650 -0.000978 -0.000002
0.750 -0.000383 -0.000001
0.850 0.000203 0.000001
0.950 0.000475 0.000002
1.050 0.000847 0.000003
1.150 0.000767 0.000003
1.250 0.000498 0.000003
1.350 0.000320 0.000002
1.450 0.000175 0.000002
1.550 -0.000001 -0.000000
1.650 -0.000002 -0.000000
1.750 0.000000 0.000000
