# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=3.61334e-05 -----------------
#dely    BF
0.050 0.010347 0.000017
0.150 0.008548 0.000014
0.250 0.005224 0.000009
0.350 0.001908 0.000003
0.450 -0.001315 -0.000003
0.550 -0.002824 -0.000006
0.650 -0.003584 -0.000008
0.750 -0.003880 -0.000010
0.850 -0.003695 -0.000010
0.950 -0.003152 -0.000010
1.050 -0.002661 -0.000010
1.150 -0.002157 -0.000010
1.250 -0.001426 -0.000008
1.350 -0.000680 -0.000005
1.450 -0.000194 -0.000002
1.550 -0.000094 -0.000002
1.650 -0.000003 -0.000000
1.750 0.000000 0.000000
