# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.080949 -----------------
#dely    BF
0.050 0.119722 0.001206
0.150 0.119806 0.001224
0.250 0.103911 0.001108
0.350 0.095453 0.001067
0.450 0.083598 0.001004
0.550 0.070760 0.000915
0.650 0.061888 0.000872
0.750 0.049502 0.000770
0.850 0.038147 0.000683
0.950 0.030275 0.000616
1.050 0.019007 0.000462
1.150 0.010502 0.000335
1.250 0.004955 0.000215
1.350 0.001635 0.000113
1.450 0.000311 0.000041
1.550 0.000018 0.000009
1.650 0.000000 0.000000
1.750 0.000000 0.000000
