# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00339475 -----------------
#dely    BF
0.050 0.001153 0.000001
0.150 0.001547 0.000001
0.250 0.002203 0.000002
0.350 0.003151 0.000003
0.450 0.003411 0.000004
0.550 0.003786 0.000004
0.650 0.003592 0.000005
0.750 0.003706 0.000005
0.850 0.003298 0.000005
0.950 0.002558 0.000004
1.050 0.001905 0.000004
1.150 0.001381 0.000003
1.250 0.000967 0.000003
1.350 0.000653 0.000002
1.450 0.000433 0.000002
1.550 0.000169 0.000001
1.650 0.000033 0.000000
1.750 0.000001 0.000000
