# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0352483 -----------------
#dely    BF
0.050 -0.008761 -0.000030
0.150 0.005992 0.000021
0.250 0.026241 0.000098
0.350 0.047377 0.000189
0.450 0.059878 0.000261
0.550 0.064431 0.000311
0.650 0.056548 0.000304
0.750 0.044468 0.000272
0.850 0.030602 0.000217
0.950 0.018633 0.000155
1.050 0.007559 0.000077
1.150 0.001983 0.000026
1.250 -0.000930 -0.000016
1.350 -0.000990 -0.000025
1.450 -0.000475 -0.000019
1.550 -0.000073 -0.000007
1.650 0.000000 0.000000
1.750 0.000000 0.000000
