# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.31264 -----------------
#dely    BF
0.050 0.493501 0.000171
0.150 0.459192 0.000165
0.250 0.416580 0.000158
0.350 0.367480 0.000148
0.450 0.316480 0.000136
0.550 0.265851 0.000124
0.650 0.218927 0.000112
0.750 0.172009 0.000097
0.850 0.133318 0.000084
0.950 0.099099 0.000070
1.050 0.070762 0.000057
1.150 0.048178 0.000045
1.250 0.030925 0.000034
1.350 0.018494 0.000024
1.450 0.010186 0.000017
1.550 0.004386 0.000010
1.650 0.000991 0.000004
1.750 0.000041 0.000000
