# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00717932 -----------------
#dely    BF
0.050 0.004531 0.000034
0.150 0.006413 0.000049
0.250 0.007363 0.000059
0.350 0.009401 0.000080
0.450 0.008625 0.000080
0.550 0.009086 0.000092
0.650 0.008306 0.000093
0.750 0.007227 0.000092
0.850 0.004895 0.000071
0.950 0.003946 0.000068
1.050 0.001710 0.000036
1.150 0.000578 0.000016
1.250 -0.000402 -0.000015
1.350 0.000107 0.000006
1.450 0.000011 0.000001
1.550 -0.000004 -0.000002
1.650 0.000000 0.000000
1.750 0.000000 0.000000
