# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-7.80769e-05 -----------------
#dely    BF
0.050 -0.001573 -0.000002
0.150 -0.001207 -0.000001
0.250 -0.000648 -0.000001
0.350 -0.000167 -0.000000
0.450 0.000362 0.000000
0.550 0.000467 0.000001
0.650 0.000716 0.000001
0.750 0.000847 0.000001
0.850 0.000507 0.000001
0.950 0.000219 0.000000
1.050 -0.000043 -0.000000
1.150 -0.000124 -0.000000
1.250 -0.000105 -0.000000
1.350 -0.000074 -0.000000
1.450 0.000023 0.000000
1.550 0.000020 0.000000
1.650 0.000002 0.000000
1.750 -0.000000 -0.000000
