# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-4.92861e-05 -----------------
#dely    BF
0.050 0.004476 0.000010
0.150 0.002913 0.000006
0.250 0.001165 0.000003
0.350 -0.000376 -0.000001
0.450 -0.001923 -0.000005
0.550 -0.001916 -0.000005
0.650 -0.001648 -0.000005
0.750 -0.001093 -0.000004
0.850 -0.000715 -0.000003
0.950 -0.000528 -0.000002
1.050 -0.000174 -0.000001
1.150 -0.000239 -0.000001
1.250 -0.000137 -0.000001
1.350 -0.000224 -0.000002
1.450 -0.000039 -0.000000
1.550 -0.000034 -0.000001
1.650 -0.000000 -0.000000
1.750 0.000000 0.000000
