# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.115374 -----------------
#dely    BF
0.050 0.177361 0.001557
0.150 0.165010 0.001482
0.250 0.159410 0.001470
0.350 0.132139 0.001327
0.450 0.122448 0.001288
0.550 0.099953 0.001151
0.650 0.087619 0.001092
0.750 0.068393 0.000971
0.850 0.055551 0.000894
0.950 0.038348 0.000730
1.050 0.024167 0.000557
1.150 0.012744 0.000387
1.250 0.007361 0.000288
1.350 0.002535 0.000159
1.450 0.000686 0.000079
1.550 0.000013 0.000006
1.650 0.000000 0.000000
1.750 0.000000 0.000000
