# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-3.57258e-06 -----------------
#dely    BF
0.050 0.001194 0.000002
0.150 0.000564 0.000001
0.250 -0.000367 -0.000001
0.350 -0.000033 -0.000000
0.450 -0.002332 -0.000006
0.550 -0.003192 -0.000009
0.650 -0.003638 -0.000011
0.750 -0.003930 -0.000013
0.850 -0.002450 -0.000009
0.950 0.000104 0.000000
1.050 0.002386 0.000012
1.150 0.003512 0.000022
1.250 0.003422 0.000027
1.350 0.002594 0.000028
1.450 0.001689 0.000027
1.550 0.000401 0.000011
1.650 0.000040 0.000003
1.750 0.000000 0.000000
