# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0135449 -----------------
#dely    BF
0.050 0.022208 0.000036
0.150 0.021286 0.000035
0.250 0.019092 0.000032
0.350 0.015929 0.000029
0.450 0.012983 0.000025
0.550 0.011125 0.000023
0.650 0.009492 0.000022
0.750 0.007948 0.000020
0.850 0.005959 0.000017
0.950 0.004422 0.000014
1.050 0.002784 0.000010
1.150 0.001577 0.000007
1.250 0.000567 0.000003
1.350 0.000174 0.000001
1.450 0.000009 0.000000
1.550 -0.000107 -0.000002
1.650 0.000001 0.000000
1.750 0.000000 0.000000
