# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.089337 -----------------
#dely    BF
0.050 0.032010 0.000010
0.150 0.033230 0.000011
0.250 0.038012 0.000013
0.350 0.048664 0.000018
0.450 0.058036 0.000022
0.550 0.066861 0.000027
0.650 0.073542 0.000032
0.750 0.077964 0.000036
0.850 0.078730 0.000039
0.950 0.075786 0.000041
1.050 0.071205 0.000042
1.150 0.063962 0.000042
1.250 0.054599 0.000040
1.350 0.044577 0.000038
1.450 0.034173 0.000034
1.550 0.023371 0.000028
1.650 0.014166 0.000023
1.750 0.004482 0.000013
