# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00136961 -----------------
#dely    BF
0.050 0.006601 0.000014
0.150 0.005153 0.000011
0.250 0.003293 0.000007
0.350 0.001219 0.000003
0.450 -0.000439 -0.000001
0.550 -0.000626 -0.000002
0.650 -0.000537 -0.000002
0.750 -0.000303 -0.000001
0.850 -0.000140 -0.000001
0.950 -0.000038 -0.000000
1.050 -0.000007 -0.000000
1.150 -0.000084 -0.000000
1.250 -0.000151 -0.000001
1.350 -0.000150 -0.000001
1.450 -0.000067 -0.000001
1.550 -0.000025 -0.000001
1.650 -0.000003 -0.000000
1.750 0.000000 0.000000
