# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=2.39493e-05 -----------------
#dely    BF
0.050 0.002964 0.000004
0.150 0.002136 0.000003
0.250 0.000349 0.000001
0.350 -0.001071 -0.000002
0.450 -0.002130 -0.000004
0.550 -0.001887 -0.000004
0.650 -0.001048 -0.000002
0.750 -0.000606 -0.000002
0.850 -0.000209 -0.000001
0.950 0.000242 0.000001
1.050 0.000374 0.000002
1.150 0.000397 0.000002
1.250 0.000308 0.000002
1.350 0.000253 0.000002
1.450 0.000125 0.000001
1.550 0.000036 0.000001
1.650 0.000005 0.000000
1.750 0.000000 0.000000
