# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-8.72119e-05 -----------------
#dely    BF
0.050 0.001153 0.000002
0.150 0.000251 0.000000
0.250 -0.000841 -0.000001
0.350 -0.001959 -0.000004
0.450 -0.002608 -0.000005
0.550 -0.001601 -0.000003
0.650 -0.000468 -0.000001
0.750 0.000254 0.000001
0.850 0.000673 0.000002
0.950 0.001030 0.000003
1.050 0.001174 0.000005
1.150 0.000948 0.000004
1.250 0.000649 0.000004
1.350 0.000262 0.000002
1.450 0.000155 0.000002
1.550 0.000050 0.000001
1.650 0.000006 0.000000
1.750 0.000000 0.000000
