# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-3.20261e-05 -----------------
#dely    BF
0.050 0.005432 0.000008
0.150 0.004227 0.000007
0.250 0.002138 0.000004
0.350 -0.000020 -0.000000
0.450 -0.001714 -0.000003
0.550 -0.001944 -0.000004
0.650 -0.001668 -0.000004
0.750 -0.001508 -0.000004
0.850 -0.001343 -0.000004
0.950 -0.001118 -0.000004
1.050 -0.000904 -0.000003
1.150 -0.000683 -0.000003
1.250 -0.000616 -0.000004
1.350 -0.000372 -0.000003
1.450 -0.000168 -0.000002
1.550 -0.000060 -0.000001
1.650 -0.000002 -0.000000
1.750 0.000000 0.000000
