# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0251025 -----------------
#dely    BF
0.050 -0.162351 -0.000368
0.150 -0.141862 -0.000331
0.250 -0.109176 -0.000265
0.350 -0.070447 -0.000180
0.450 -0.030900 -0.000084
0.550 -0.002014 -0.000006
0.650 0.024870 0.000079
0.750 0.041262 0.000145
0.850 0.047902 0.000188
0.950 0.047751 0.000214
1.050 0.039692 0.000208
1.150 0.030121 0.000189
1.250 0.019118 0.000152
1.350 0.010413 0.000109
1.450 0.003744 0.000056
1.550 0.000842 0.000022
1.650 0.000012 0.000001
1.750 0.000000 0.000000
