# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=3.65854e-05 -----------------
#dely    BF
0.050 0.004223 0.000009
0.150 0.003165 0.000007
0.250 0.001260 0.000003
0.350 -0.000538 -0.000001
0.450 -0.001934 -0.000005
0.550 -0.001964 -0.000006
0.650 -0.001529 -0.000005
0.750 -0.001005 -0.000003
0.850 -0.000625 -0.000002
0.950 -0.000332 -0.000001
1.050 -0.000140 -0.000001
1.150 -0.000099 -0.000001
1.250 -0.000117 -0.000001
1.350 0.000009 0.000000
1.450 -0.000019 -0.000000
1.550 0.000010 0.000000
1.650 0.000001 0.000000
1.750 0.000000 0.000000
