# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=9.88028e-05 -----------------
#dely    BF
0.050 0.004283 0.000009
0.150 0.003355 0.000007
0.250 0.001499 0.000003
0.350 -0.000144 -0.000000
0.450 -0.001647 -0.000004
0.550 -0.001733 -0.000005
0.650 -0.001291 -0.000004
0.750 -0.001032 -0.000003
0.850 -0.000602 -0.000002
0.950 -0.000450 -0.000002
1.050 -0.000414 -0.000002
1.150 -0.000351 -0.000002
1.250 -0.000237 -0.000001
1.350 -0.000127 -0.000001
1.450 -0.000091 -0.000001
1.550 -0.000027 -0.000001
1.650 -0.000004 -0.000000
1.750 0.000000 0.000000
