# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.197418 -----------------
#dely    BF
0.050 -0.240468 -0.000546
0.150 -0.234565 -0.000547
0.250 -0.227176 -0.000552
0.350 -0.215626 -0.000552
0.450 -0.204034 -0.000556
0.550 -0.187095 -0.000549
0.650 -0.168456 -0.000537
0.750 -0.145678 -0.000513
0.850 -0.118995 -0.000468
0.950 -0.092019 -0.000413
1.050 -0.064749 -0.000339
1.150 -0.040794 -0.000256
1.250 -0.022013 -0.000174
1.350 -0.009503 -0.000100
1.450 -0.002660 -0.000040
1.550 -0.000341 -0.000009
1.650 -0.000008 -0.000001
1.750 0.000000 0.000000
