# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0960521 -----------------
#dely    BF
0.050 0.162097 0.000079
0.150 0.151075 0.000076
0.250 0.138526 0.000072
0.350 0.124188 0.000067
0.450 0.108120 0.000061
0.550 0.091438 0.000055
0.650 0.073195 0.000046
0.750 0.055397 0.000038
0.850 0.039583 0.000029
0.950 0.024362 0.000019
1.050 0.013132 0.000011
1.150 0.002976 0.000003
1.250 -0.002575 -0.000003
1.350 -0.005901 -0.000007
1.450 -0.006612 -0.000010
1.550 -0.005601 -0.000011
1.650 -0.002599 -0.000008
1.750 -0.000280 -0.000002
