# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0142594 -----------------
#dely    BF
0.050 0.021195 0.000027
0.150 0.020851 0.000027
0.250 0.019882 0.000026
0.350 0.018205 0.000025
0.450 0.016117 0.000023
0.550 0.013523 0.000020
0.650 0.010984 0.000018
0.750 0.008570 0.000015
0.850 0.006282 0.000012
0.950 0.004034 0.000008
1.050 0.002187 0.000005
1.150 0.000992 0.000003
1.250 0.000155 0.000000
1.350 -0.000063 -0.000000
1.450 -0.000216 -0.000001
1.550 -0.000100 -0.000001
1.650 -0.000005 -0.000000
1.750 -0.000000 -0.000000
