# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0197752 -----------------
#dely    BF
0.050 0.029490 0.000030
0.150 0.028696 0.000030
0.250 0.026595 0.000029
0.350 0.024278 0.000028
0.450 0.021092 0.000025
0.550 0.017481 0.000022
0.650 0.014481 0.000020
0.750 0.011921 0.000018
0.850 0.008730 0.000015
0.950 0.006066 0.000011
1.050 0.004029 0.000008
1.150 0.002465 0.000006
1.250 0.001403 0.000004
1.350 0.000636 0.000002
1.450 0.000296 0.000001
1.550 0.000087 0.000001
1.650 0.000005 0.000000
1.750 0.000000 0.000000
