# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=7.9087e-05 -----------------
#dely    BF
0.050 0.002600 0.000005
0.150 0.001645 0.000003
0.250 0.000404 0.000001
0.350 -0.001224 -0.000003
0.450 -0.002682 -0.000006
0.550 -0.001997 -0.000005
0.650 -0.001144 -0.000003
0.750 -0.000278 -0.000001
0.850 0.000179 0.000001
0.950 0.000579 0.000002
1.050 0.000684 0.000003
1.150 0.000785 0.000004
1.250 0.000494 0.000003
1.350 0.000465 0.000003
1.450 0.000216 0.000002
1.550 0.000060 0.000001
1.650 0.000005 0.000000
1.750 0.000000 0.000000
