# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0186278 -----------------
#dely    BF
0.050 0.033444 0.000027
0.150 0.031299 0.000026
0.250 0.028306 0.000025
0.350 0.024770 0.000023
0.450 0.020073 0.000021
0.550 0.015704 0.000018
0.650 0.012293 0.000016
0.750 0.008577 0.000012
0.850 0.005851 0.000010
0.950 0.003399 0.000006
1.050 0.001757 0.000004
1.150 0.000744 0.000002
1.250 0.000208 0.000001
1.350 -0.000042 -0.000000
1.450 -0.000064 -0.000000
1.550 -0.000033 -0.000000
1.650 -0.000007 -0.000000
1.750 -0.000000 -0.000000
