# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=3.82025e-07 -----------------
#dely    BF
0.050 0.004517 0.000007
0.150 0.003432 0.000006
0.250 0.001527 0.000003
0.350 -0.000224 -0.000000
0.450 -0.001776 -0.000004
0.550 -0.001627 -0.000004
0.650 -0.001547 -0.000004
0.750 -0.001025 -0.000003
0.850 -0.000916 -0.000003
0.950 -0.000628 -0.000002
1.050 -0.000480 -0.000002
1.150 -0.000454 -0.000002
1.250 -0.000419 -0.000003
1.350 -0.000249 -0.000002
1.450 -0.000089 -0.000001
1.550 -0.000035 -0.000001
1.650 -0.000003 -0.000000
1.750 0.000000 0.000000
