# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00812941 -----------------
#dely    BF
0.050 0.014569 0.000024
0.150 0.013855 0.000023
0.250 0.011468 0.000020
0.350 0.008603 0.000016
0.450 0.006454 0.000013
0.550 0.005090 0.000011
0.650 0.004913 0.000012
0.750 0.004103 0.000011
0.850 0.003564 0.000011
0.950 0.003046 0.000011
1.050 0.002230 0.000009
1.150 0.001557 0.000008
1.250 0.001042 0.000006
1.350 0.000526 0.000004
1.450 0.000225 0.000003
1.550 0.000044 0.000001
1.650 0.000005 0.000000
1.750 0.000000 0.000000
