# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-8.0265e-05 -----------------
#dely    BF
0.050 0.004587 0.000007
0.150 0.003446 0.000005
0.250 0.001504 0.000002
0.350 -0.000354 -0.000001
0.450 -0.002097 -0.000004
0.550 -0.002198 -0.000004
0.650 -0.001569 -0.000004
0.750 -0.001338 -0.000003
0.850 -0.000888 -0.000003
0.950 -0.000646 -0.000002
1.050 -0.000455 -0.000002
1.150 -0.000379 -0.000002
1.250 -0.000217 -0.000001
1.350 -0.000123 -0.000001
1.450 -0.000060 -0.000001
1.550 -0.000016 -0.000000
1.650 0.000000 0.000000
1.750 0.000000 0.000000
