# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=6.14453e-05 -----------------
#dely    BF
0.050 -0.000675 -0.000001
0.150 -0.000735 -0.000001
0.250 -0.000330 -0.000000
0.350 0.000684 0.000001
0.450 0.000917 0.000001
0.550 0.000912 0.000001
0.650 0.001439 0.000002
0.750 0.000755 0.000001
0.850 0.000706 0.000001
0.950 0.000003 0.000000
1.050 -0.000615 -0.000001
1.150 -0.000694 -0.000002
1.250 -0.000717 -0.000003
1.350 -0.000549 -0.000003
1.450 -0.000336 -0.000002
1.550 -0.000123 -0.000001
1.650 -0.000027 -0.000000
1.750 -0.000000 -0.000000
