# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=1.08092e-05 -----------------
#dely    BF
0.050 -0.001311 -0.000001
0.150 -0.000716 -0.000001
0.250 -0.000211 -0.000000
0.350 0.000733 0.000001
0.450 0.001157 0.000001
0.550 0.001369 0.000002
0.650 0.001252 0.000002
0.750 0.000977 0.000001
0.850 0.000477 0.000001
0.950 -0.000211 -0.000000
1.050 -0.000655 -0.000001
1.150 -0.000868 -0.000002
1.250 -0.000798 -0.000002
1.350 -0.000592 -0.000002
1.450 -0.000334 -0.000002
1.550 -0.000129 -0.000001
1.650 -0.000030 -0.000000
1.750 0.000000 0.000000
