# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-2.9009e-05 -----------------
#dely    BF
0.050 0.005474 0.000011
0.150 0.004042 0.000008
0.250 0.002134 0.000005
0.350 0.000050 0.000000
0.450 -0.001927 -0.000005
0.550 -0.001729 -0.000005
0.650 -0.001518 -0.000004
0.750 -0.001385 -0.000004
0.850 -0.001173 -0.000004
0.950 -0.001166 -0.000005
1.050 -0.000908 -0.000004
1.150 -0.000767 -0.000004
1.250 -0.000675 -0.000004
1.350 -0.000395 -0.000003
1.450 -0.000263 -0.000003
1.550 -0.000078 -0.000002
1.650 -0.000007 -0.000000
1.750 0.000000 0.000000
