# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=2.62852e-05 -----------------
#dely    BF
0.050 0.006329 0.000010
0.150 0.004810 0.000008
0.250 0.002335 0.000004
0.350 0.000046 0.000000
0.450 -0.001846 -0.000004
0.550 -0.002288 -0.000005
0.650 -0.002058 -0.000005
0.750 -0.002016 -0.000005
0.850 -0.001647 -0.000005
0.950 -0.001160 -0.000004
1.050 -0.000795 -0.000003
1.150 -0.000799 -0.000004
1.250 -0.000417 -0.000002
1.350 -0.000177 -0.000001
1.450 -0.000038 -0.000000
1.550 -0.000017 -0.000000
1.650 0.000003 0.000000
1.750 0.000000 0.000000
