# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-4.51416e-05 -----------------
#dely    BF
0.050 0.000479 0.000001
0.150 -0.000038 -0.000000
0.250 0.000525 0.000001
0.350 0.001149 0.000001
0.450 0.000959 0.000001
0.550 0.000535 0.000001
0.650 0.000097 0.000000
0.750 0.000275 0.000000
0.850 -0.000288 -0.000000
0.950 -0.000707 -0.000001
1.050 -0.000829 -0.000002
1.150 -0.000831 -0.000002
1.250 -0.000887 -0.000002
1.350 -0.000472 -0.000002
1.450 -0.000318 -0.000001
1.550 -0.000090 -0.000001
1.650 -0.000012 -0.000000
1.750 -0.000000 -0.000000
