# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=7.01561e-05 -----------------
#dely    BF
0.050 0.002321 0.000004
0.150 0.001443 0.000002
0.250 -0.000038 -0.000000
0.350 -0.001143 -0.000002
0.450 -0.002136 -0.000004
0.550 -0.001714 -0.000004
0.650 -0.000843 -0.000002
0.750 -0.000192 -0.000001
0.850 0.000323 0.000001
0.950 0.000553 0.000002
1.050 0.000685 0.000003
1.150 0.000607 0.000003
1.250 0.000405 0.000002
1.350 0.000263 0.000002
1.450 0.000134 0.000001
1.550 0.000032 0.000001
1.650 0.000001 0.000000
1.750 0.000000 0.000000
