# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0132609 -----------------
#dely    BF
0.050 0.030372 0.000119
0.150 0.029088 0.000117
0.250 0.028205 0.000117
0.350 0.024088 0.000107
0.450 0.019940 0.000096
0.550 0.014373 0.000075
0.650 0.007387 0.000043
0.750 0.003008 0.000019
0.850 -0.001827 -0.000013
0.950 -0.003951 -0.000034
1.050 -0.006115 -0.000063
1.150 -0.005380 -0.000070
1.250 -0.004315 -0.000072
1.350 -0.001811 -0.000043
1.450 -0.000359 -0.000014
1.550 -0.000094 -0.000008
1.650 0.000000 0.000000
1.750 0.000000 0.000000
